%  ASCII export :
%
%  Momentum is normalized to the product of particle's mass and speed of light.
%  All other quantities are in SI units.
%
%   posX              posY              posZ              momX              momY              momZ              mass              charge            macro-charge      time             particleID   sourceID

     1.8845119e-02    -1.0102862e-03     3.6722429e-02     9.2613780e-01    -3.2013301e-03     5.4971588e-01     9.1093797e-31    -5.5185789e-28    -5.5185789e-28     1.9655530e-01   0            16777216
     1.9159392e-02    -1.0113937e-03     3.6905862e-02     9.3213749e-01    -3.3167345e-03     5.3947908e-01     9.1093797e-31    -5.5185789e-28    -5.5185789e-28     1.9821167e-01   0            16777216
     1.9475672e-02    -1.0125408e-03     3.7085813e-02     9.3804234e-01    -3.4341607e-03     5.2914441e-01     9.1093797e-31    -5.5185789e-28    -5.5185789e-28     1.9986804e-01   0            16777216
     1.9793926e-02    -1.0137280e-03     3.7262250e-02     9.4385076e-01    -3.5536087e-03     5.1871204e-01     9.1093797e-31    -5.5185789e-28    -5.5185789e-28     2.0152441e-01   0            16777216
     2.0114120e-02    -1.0149559e-03     3.7435140e-02     9.4956201e-01    -3.6750708e-03     5.0818056e-01     9.1093797e-31    -5.5185789e-28    -5.5185789e-28     2.0318078e-01   0            16777216
     2.0436220e-02    -1.0162254e-03     3.7604451e-02     9.5517421e-01    -3.7985470e-03     4.9755082e-01     9.1093797e-31    -5.5185789e-28    -5.5185789e-28     2.0483713e-01   0            16777216
     2.0760193e-02    -1.0175371e-03     3.7770148e-02     9.6068501e-01    -3.9240280e-03     4.8682430e-01     9.1093797e-31    -5.5185789e-28    -5.5185789e-28     2.0649350e-01   0            16777216
     2.1086007e-02    -1.0188915e-03     3.7932198e-02     9.6609223e-01    -4.0515070e-03     4.7600248e-01     9.1093797e-31    -5.5185789e-28    -5.5185789e-28     2.0814987e-01   0            16777216
     2.1413624e-02    -1.0202896e-03     3.8090575e-02     9.7139382e-01    -4.1809818e-03     4.6508658e-01     9.1093797e-31    -5.5185789e-28    -5.5185789e-28     2.0980623e-01   0            16777216
     2.1743007e-02    -1.0217318e-03     3.8245238e-02     9.7658783e-01    -4.3124487e-03     4.5407778e-01     9.1093797e-31    -5.5185789e-28    -5.5185789e-28     2.1146260e-01   0            16777216
